Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",,4,,
C1,0402,1,10uF,C19702
"C10, C11",0402,2,1uF,C52923
C12,0402,1,.01uF,C15195
"C13, C14, C15",0402,3,10uF,C315248
"C16, C20",0402,2,100nF,C1525
"C17, C19",0402,2,22uF,C3845593
C18,0402,1,1uF,C14445
"C2, C5",0402,2,10pF,C32949
C21,0402,1,33pF,C70465
C22,0603,1,3.3uF,
"C3, C4, C6, C8",0402,4,100nF,C307331
C7,0402,1,2.2uF,C12530
C9,0402,1,10nF,C15195
D1,0603,1,LED,C9900011154
"D10, D12, D4, D5, D6, D7, D8, D9",D_SMA,8,SS34,C3032484
"D11, D13, D14, D18, D19, D21, D22, D23",D_SOD-882,8,PESD3V3U1UL,
"D15, D16, D17, D20",D_SOD-882,4,PESD5V0L1UL,
D2,0603,1,LED,C779453
D3,0603,1,LED,C131286
FB1,0603,1,120R,C85831
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12--MODIFIED,1,TYPE-C-31-M-12,C165948
J2,PinHeader_1x04_P2.54mm_Vertical,1,SWD,
J3,XT30UPBF,1,XT30UPB-F,
J5,CONN_XT30UPB-M_AMA,1,XT30UPB-M,
"J6, J8",CONN_S6B-XH-SM4-TB_JST,2,Conn_01x06,
J7,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,Conn_01x04_Pin,C160390
L1,0402,1,3.3uH,
MOSFET1,PG-DSO-8-902_INF,1,IRF7351TRPBF,
"Q1, Q14, Q2, Q6",TO-263-2,4,RF1S9540SM, C33903
"Q10, Q11, Q12, Q13, Q16, Q4, Q5, Q8",SOT-23,8,2N7002,C466660
"Q15, Q3, Q7, Q9",TO-263-2,4,IRLZ44NS, C538199
"R1, R2",0402,2,4.7k,C174364
"R10, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R4, R5, R6, R7, R8, R9",0402,19,1k,C102758
R11,0402,1,29.4k,C162880
R12,0402,1,10k,C176114
"R25, R26",0402,2,5.11k,
"R27, R31, R32",0402,3,10k,
R28,0402,1,56.2k,
R29,0402,1,15k,
R3,0402,1,10k,C174364
R30,0603,1,470,
R33,0402,1,5.1k,
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32F401CCU6,C79861
U2,MSOP-8_3x3mm_P0.65mm,1,LT1962-3.3,
U3,DFN-8-1EP_2x3mm_P0.5mm_EP0.61x2.2mm,1,LTC4365DDB,
U4,SOT-23-6,1,TPS563200,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
