Designator,Mid X,Mid Y,Rotation,Layer
_4,163.65,-103.45,0.0,top
_3,163.65,-74.45,0.0,top
_2,134.7,-74.5,0.0,top
,134.65,-103.45,0.0,top
C1,147.06143,-96.515,0.0,top
C10,152.35,-108.265001,180.0,top
C11,149.925,-110.270001,270.0,top
C12,144.301,-83.276714,270.0,top
C13,144.301,-81.376714,90.0,top
C14,158.7,-75.4,90.0,top
C15,157.7,-75.38,270.0,top
C16,155.7,-72.0,0.0,top
C17,151.98,-73.1,0.0,top
C18,151.701,-82.476714,270.0,top
C19,152.0,-75.2,0.0,top
C2,143.639653,-104.244142,135.0,top
C20,150.875,-108.095001,270.0,top
C21,146.9,-73.8,90.0,top
C22,137.2,-71.3,90.0,top
C3,147.41643,-106.923,180.0,top
C4,146.01643,-105.523,270.0,top
C5,140.239653,-103.844142,45.0,top
C6,155.41643,-99.023,270.0,top
C7,155.91643,-100.523,0.0,top
C8,147.06143,-97.531,0.0,top
C9,152.26643,-107.048,180.0,top
D1,138.390001,-109.173,0.0,top
D10,159.4,-84.2,270.0,top
D11,160.5,-106.9,270.0,top
D12,160.7,-104.8,90.0,bottom
D13,162.525,-105.05,0.0,top
D14,169.525,-73.025,270.0,top
D15,164.225,-79.3,180.0,top
D16,164.075,-87.375,180.0,top
D17,133.15,-98.575,0.0,top
D18,162.3,-72.325,270.0,top
D19,161.05,-72.8,270.0,top
D2,139.78,-113.1,0.0,top
D20,133.525,-90.425,0.0,top
D21,133.05,-107.475,0.0,top
D22,132.2,-106.275,0.0,top
D23,131.05,-104.975,0.0,top
D3,139.187501,-111.2,0.0,top
D4,149.5,-86.9,180.0,top
D5,137.8,-99.8,180.0,top
D6,130.0,-96.5,270.0,bottom
D7,141.891667,-65.175,180.0,top
D8,158.8,-67.2,90.0,top
D9,175.0,-94.0,90.0,bottom
FB1,151.925,-109.770001,180.0,top
J1,167.112239,-109.452837,45.0,top
J2,130.94602583632073,-109.99102583632074,45.0,top
J3,148.81,-116.26,90.0,top
J5,130.60000010779746,-68.60000097578364,40.0,top
J6,126.246199,-89.449999,270.0,top
J7,165.327423,-70.126256,135.0,top
J8,171.653801,-88.750001,90.0,top
L1,152.0,-74.2,180.0,top
MOSFET1,143.0,-72.5,90.0,top
Q1,141.691667,-71.75,270.0,bottom
Q10,134.3,-96.2,0.0,top
Q11,163.5,-81.6,180.0,top
Q12,163.5,-85.0,0.0,top
Q13,154.85,-81.8625,270.0,bottom
Q14,167.25,-84.16,180.0,bottom
Q15,152.355,-108.675,180.0,bottom
Q16,154.9,-87.9,90.0,bottom
Q2,142.325,-84.0,0.0,bottom
Q3,129.29,-85.93,270.0,bottom
Q4,150.4925,-62.6,180.0,bottom
Q5,158.482125,-62.33,0.0,bottom
Q6,154.075,-69.99,0.0,bottom
Q7,166.35,-95.56,180.0,bottom
Q8,134.3375,-92.75,180.0,top
Q9,142.450001,-95.539999,0.0,bottom
R1,143.3,-100.6,180.0,top
R10,136.9375,-95.259999,270.0,top
R11,155.44143,-105.423,270.0,top
R12,156.5,-105.5,90.0,top
R13,153.7,-79.0,270.0,bottom
R14,148.0,-62.7,270.0,bottom
R15,151.096429,-95.083,90.0,top
R16,155.81643,-102.323,0.0,top
R17,155.944625,-62.48,90.0,bottom
R18,164.8,-69.4,270.0,bottom
R19,155.5,-95.7,90.0,bottom
R2,143.306431,-101.723,180.0,top
R20,154.4,-90.3,0.0,bottom
R21,153.95,-107.775,90.0,top
R22,156.01643,-97.113001,90.0,top
R23,152.196429,-95.073,90.0,top
R24,154.5,-85.5,180.0,bottom
R25,168.4,-107.95,0.0,bottom
R26,164.846,-110.238,270.0,bottom
R27,156.21,-76.5,0.0,top
R28,152.0,-76.3,0.0,top
R29,138.7,-77.1,270.0,top
R3,145.606431,-102.923,180.0,top
R30,136.6,-76.9,180.0,top
R31,141.8,-76.7,180.0,top
R32,144.2,-76.7,180.0,top
R33,146.9,-76.09,90.0,top
R4,155.3,-84.3,0.0,bottom
R5,135.790001,-109.1,180.0,top
R6,153.03,-62.35,270.0,bottom
R7,137.19,-113.1,180.0,top
R8,136.495,-111.0,180.0,top
R9,136.8375,-93.25,90.0,top
U1,150.75,-102.25,180.0,top
U2,148.001,-82.976714,270.0,top
U3,138.15,-74.5,0.0,top
U4,155.0625,-74.25,180.0,top
Y1,142.11643,-105.823,135.0,top
